Total companii: 967
ticker | nume_complet | bursa
RDLP.WA^B22 | Rdl SA | Warsaw Stock Exchange
RDNP.WA | Redan SA w likwidacji | Warsaw Stock Exchange
REEDR.IS | Reeder Teknoloji Sanayi ve Ticaret AS | Istanbul Stock Exchange
RFK.WA^G25 | Rafako SA w upadlosci | Warsaw Stock Exchange
RGYAS.IS | Ronesans Gayrimenkul Yatirim AS | Istanbul Stock Exchange
RHD.WA | Reinhold Europe AB | Warsaw Stock Exchange
RLP.WA | Relpol SA | Warsaw Stock Exchange
RMK.WA | Remak Energomontaz SA | Warsaw Stock Exchange
RNCP.WA | Reino Capital SA | Warsaw Stock Exchange
RNDP.WA | Render Cube SA | Warsaw Stock Exchange
RNKP.WA | Rank Progress SA | Warsaw Stock Exchange
ROAQ.BX | Aquila Part Prod Com SA | The Bucharest Stock Exchange
ROAZO.BX^L12 | Azomures SA | The Bucharest Stock Exchange
ROB.WA^F19 | Robyg SA | Warsaw Stock Exchange
ROBIO.BX | Biofarm SA | The Bucharest Stock Exchange
ROBRD.BX | BRD Groupe Societe Generale SA | The Bucharest Stock Exchange
ROBRK.BX | SSIF BRK Financial Group SA | The Bucharest Stock Exchange
ROBVB.BX | Bursa de Valori Bucuresti SA | The Bucharest Stock Exchange
ROEL.BX | Societatea Energetica Electrica SA | The Bucharest Stock Exchange
ROH2O.BX | Societatea de Producere a Energiei Electrice in Hidrocentrale Hidroelectrica SA | The Bucharest Stock Exchange
ROM.BX | Med Life SA | The Bucharest Stock Exchange
RONP.WA^D22 | Ronson Development SE | Warsaw Stock Exchange
ROONE.BX | One United Properties SA | The Bucharest Stock Exchange
ROPE.BX | Premier Energy PLC | The Bucharest Stock Exchange
RORRC.BX | Rompetrol Rafinare SA | The Bucharest Stock Exchange
ROSFG.BX | Sphera Franchise Group SA | The Bucharest Stock Exchange
ROSNN.BX | Societatea Nationala Nuclearelectrica SA | The Bucharest Stock Exchange
ROSNP.BX | OMV Petrom SA | The Bucharest Stock Exchange
ROTEL.BX | Compania Nationala de Transport al Energiei Electrice Transelectrica SA | The Bucharest Stock Exchange
ROTLV.BX | Banca Transilvania SA | The Bucharest Stock Exchange
ROWINE.BX | Purcari Wineries PCL | The Bucharest Stock Exchange
RPCP.WA | Zaklady Magnezytowe Ropczyce SA | Warsaw Stock Exchange
RSE.WA^H16 | Cersanit SA | Warsaw Stock Exchange
RTALB.IS | RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makine Sanayi Ticaret AS | Istanbul Stock Exchange
RUCH.WA^A11 | Uslugi Logistyczne SA w likwidacji | Warsaw Stock Exchange
RVU.WA | Ryvu Therapeutics SA | Warsaw Stock Exchange
RWD.WA^B20 | Redwood Holding SA w upadlosci | Warsaw Stock Exchange
RWLP.WA | Rawlplug SA | Warsaw Stock Exchange
RYGYO.IS | Reysas Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
RYSAS.IS | Reysas Tasimacilik ve Lojistik Ticaret AS | Istanbul Stock Exchange
SABFG.PR | Sab Finance as | Prague Stock Exchange
SAFGY.IS^A17 | Saf Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
SAHOL.IS | Haci Omer Sabanci Holding AS | Istanbul Stock Exchange
SANR.WA | Banco Santander SA | Warsaw Stock Exchange
SARKY.IS | Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret AS | Istanbul Stock Exchange
SASA.IS | SASA Polyester Sanayi AS | Istanbul Stock Exchange
SAYAS.IS | Say Yenilenebilir Enerji Ekipmanlari Sanayi ve Ticaret AS | Istanbul Stock Exchange
SCOA.WA^L20 | Sco Pak SA | Warsaw Stock Exchange
SCPP.WA | Scope Fluidics SA | Warsaw Stock Exchange
SEKO.WA | Seko SA | Warsaw Stock Exchange
SELP.WA | Selena FM SA | Warsaw Stock Exchange
SESA.WA^L24 | Sescom SA | Warsaw Stock Exchange
SFG.WA | Silvano Fashion Group AS | Warsaw Stock Exchange
SFSP.WA | Sfinks Polska SA | Warsaw Stock Exchange
SGN.WA | Sygnity SA | Warsaw Stock Exchange
SGRE.WA | Sadovaya Group SA | Warsaw Stock Exchange
SHD.WA | Soho Development SA | Warsaw Stock Exchange
SHG.WA | Starhedge SA | Warsaw Stock Exchange
SHO1.WA | Shoper SA | Warsaw Stock Exchange
SIM1.WA | Simfabric SA | Warsaw Stock Exchange
SKA.WA | Fabryka Farb i Lakierow Sniezka SA | Warsaw Stock Exchange
SKH1.WA | Skarbiec Holding SA | Warsaw Stock Exchange
SKLP.WA | Skyline Investment SA | Warsaw Stock Exchange
SLV1.WA | Selvita SA | Warsaw Stock Exchange
SLZ.WA^K23 | Sleepz AG | Warsaw Stock Exchange
SME.WA^C22 | Simple SA | Warsaw Stock Exchange
SNG.BX | Societatea Nationala de Gaze Naturale Romgaz SA | The Bucharest Stock Exchange
SNK.WA | Sanok Rubber Company SA | Warsaw Stock Exchange
SNS.WA^D18 | Synthos SA | Warsaw Stock Exchange
SNTP.WA | Synektik SA | Warsaw Stock Exchange
SNW.WA | Sanwil Holding SA | Warsaw Stock Exchange
SNXP.WA | Sunex SA | Warsaw Stock Exchange
SOLP.WA^B24 | Solar Company SA | Warsaw Stock Exchange
SONP.WA | Sonel SA | Warsaw Stock Exchange
SP2P.WA^G19 | Santander Bank Polska SA | Warsaw Stock Exchange
SPHP.WA | Sopharma AD | Warsaw Stock Exchange
SPL1.WA | Santander Bank Polska SA | Warsaw Stock Exchange
SPRP.WA | Spyrosoft SA | Warsaw Stock Exchange
SPTT.PR^B22 | O2 Czech Republic as | Prague Stock Exchange
STCK.PR^K21 | Stock Spirits Group Ltd | Prague Stock Exchange
STFP.WA | Stalprofil SA | Warsaw Stock Exchange
STH1.WA^B24 | STS Holding SA | Warsaw Stock Exchange
STLP.WA^J20 | Stelmet SA | Warsaw Stock Exchange
STP.WA | Stalprodukt SA | Warsaw Stock Exchange
STSP.WA | Satis Group SA | Warsaw Stock Exchange
STXPP.WA | Stalexport Autostrady SA | Warsaw Stock Exchange
SUW.WA^I23 | Suwary Sp z o o | Warsaw Stock Exchange
SVEP.WA | Synthaverse SA | Warsaw Stock Exchange
SVRS.WA | Silvair Inc | Warsaw Stock Exchange
SWG.WA | Seco/Warwick SA | Warsaw Stock Exchange
SYNI.BU^A16 | Synergon Informatikai Rendszereket Tervezo es Kivitelezo Zrt va | Budapest Stock Exchange
TABK.PR | Philip Morris CR as | Prague Stock Exchange
TARP.WA | Tarczynski SA | Warsaw Stock Exchange
TBLP.WA | T-Bull SA | Warsaw Stock Exchange
TENP.WA | Ten Square Games SA | Warsaw Stock Exchange
TERP.WA^C16 | Sigvaris SA | Warsaw Stock Exchange
TETA.WA^H10 | Unit4 Teta SA | Warsaw Stock Exchange
TFO.WA^B17 | TelForceOne SA | Warsaw Stock Exchange
TGN.BX | Societatea Nationala de Transport Gaze Naturale Transgaz SA | The Bucharest Stock Exchange
THGP.WA | Tenderhut SA | Warsaw Stock Exchange
TIMP.WA^F24 | Tim SA | Warsaw Stock Exchange
TLNX.WA^F21 | Talanx AG | Warsaw Stock Exchange
TLX.WA | Talex SA | Warsaw Stock Exchange
TMEX.WA^C11 | Techmex SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
TMR.WA | Tatry Mountain Resorts as | Warsaw Stock Exchange
TOR.WA | Torpol SA | Warsaw Stock Exchange
TOW.WA | Tower Investments SA | Warsaw Stock Exchange
TOYA.WA | Toya SA | Warsaw Stock Exchange
TPE.WA | Tauron Polska Energia SA | Warsaw Stock Exchange
TPMP.WA^C17 | Topmedical SA | Warsaw Stock Exchange
TRILC.IS | Turk Ilac ve Serum Sanayi AS | Istanbul Stock Exchange
TRIP.WA | Triton Development SA | Warsaw Stock Exchange
TRKCM.IS^J20 | Trakya Cam Sanayii AS | Istanbul Stock Exchange
TRKP.WA | Trakcja SA | Warsaw Stock Exchange
TRMET.IS | TR Anadolu Metal Madencilik Isletmeleri AS | Istanbul Stock Exchange
TRNP.WA | Trans Polonia SA | Warsaw Stock Exchange
TRP.BX | Teraplast SA | The Bucharest Stock Exchange
TRRP.WA | Termo Rex SA | Warsaw Stock Exchange
TSGP.WA | Tesgas SA | Warsaw Stock Exchange
TSKB.IS | Industrial Development Bank of Turkey | Istanbul Stock Exchange
TSPOR.IS | Trabzonspor Sportif Yatirim ve Futbol Isletmeciligi Ticaret AS | Istanbul Stock Exchange
TTKOM.IS | Turk Telekomunikasyon AS | Istanbul Stock Exchange
TTRAK.IS | Turk Traktor ve Ziraat Makineleri AS | Istanbul Stock Exchange
TTS.BX | TTS Transport Trade Services SA | The Bucharest Stock Exchange
TUKAS.IS | Tukas Gida Sanayi ve Ticaret AS | Istanbul Stock Exchange
TUPRS.IS | Turkiye Petrol Rafinerileri AS | Istanbul Stock Exchange
TUREX.IS | Tureks Turizm Tasimacilik AS | Istanbul Stock Exchange
TURSG.IS | Turkiye Sigorta AS | Istanbul Stock Exchange
TVKD.BU^C15 | MOL Petrolkemia Zrt | Budapest Stock Exchange
TVL.WA^H16 | Travelplanet.pl SA | Warsaw Stock Exchange
TVN.WA^J15 | TVN SA | Warsaw Stock Exchange
TXM.WA^F23 | Txm SA | Warsaw Stock Exchange
TXTP.WA | Text SA | Warsaw Stock Exchange
UCGP.WA | UniCredit SpA | Warsaw Stock Exchange
ULG.WA | Ultimate Games SA | Warsaw Stock Exchange
ULKER.IS | Ulker Biskuvi Sanayi AS | Istanbul Stock Exchange
ULM.WA | Ulma Construccion Polska SA | Warsaw Stock Exchange
ULUUN.IS | Ulusoy Un Sanayi ve Ticaret AS | Istanbul Stock Exchange
UNFP.WA | Unfold.vc Asi SA | Warsaw Stock Exchange
UNIP.WA | Unibep SA | Warsaw Stock Exchange
UNPE.PR^I18 | Orlen Unipetrol as | Prague Stock Exchange
UNTP.WA | Unimot SA | Warsaw Stock Exchange
UNW.WA^B18 | Superior Industries Europe AG | Warsaw Stock Exchange
URSP.WA^J22 | Ursus SA w upadlosci | Warsaw Stock Exchange
URT.WA | Urteste SA | Warsaw Stock Exchange
VAKBN.IS | Turkiye Vakiflar Bankasi TAO | Istanbul Stock Exchange
VERUS.IS | Verusa Holding AS | Istanbul Stock Exchange
VESBE.IS | Vestel Beyaz Esya Sanayi ve Ticaret AS | Istanbul Stock Exchange
VESTL.IS | Vestel Elektronik Sanayi ve Ticaret AS | Istanbul Stock Exchange
VGOP.WA | Vigo Photonics SA | Warsaw Stock Exchange
VIGR.PR | Vienna Insurance Group Wiener Versicherung Gruppe AG | Prague Stock Exchange
VINP.WA | Gielda Praw Majatkowych Vindexus SA | Warsaw Stock Exchange
VKGYO.IS | Vakif Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
VOT.WA | Votum SA | Warsaw Stock Exchange
VOXP.WA | Voxel SA | Warsaw Stock Exchange
VRCP.WA | Vercom SA | Warsaw Stock Exchange
VRGP.WA | VRG SA | Warsaw Stock Exchange
VTG.WA^D20 | Vantage Development SA | Warsaw Stock Exchange
VTL.WA | Vistal Gdynia SA w Upadlosci | Warsaw Stock Exchange
VVD.WA | Vivid Games SA | Warsaw Stock Exchange
WABE.BU | Waberer's International Nyrt | Budapest Stock Exchange
WASP.WA | Wasko SA | Warsaw Stock Exchange
WAX.WA^J20 | Przedsiebiorstwo Produkcyjno Handlowe Wadex SA | Warsaw Stock Exchange
WDX.WA^F18 | WDX SA | Warsaw Stock Exchange
WESP.WA^E17 | Westa Isic SA | Warsaw Stock Exchange
WIK.WA | Wikana SA | Warsaw Stock Exchange
WINF.WA^C11 | Devoteam SA | Warsaw Stock Exchange
WISP.WA^G25 | Baltic Bridge SA | Warsaw Stock Exchange
WLB.WA^K19 | Wilbo SA | Warsaw Stock Exchange
WLTP.WA | Wielton SA | Warsaw Stock Exchange
WOJ.WA^K24 | Wojas SA | Warsaw Stock Exchange
WPPL.WA | Wirtualna Polska Holding SA | Warsaw Stock Exchange
WPRP.WA | Woodpecker.co SA | Warsaw Stock Exchange
WSIP.WA^I10 | Wydawnictwa Szkolne i Pedagogiczne SA | Warsaw Stock Exchange
WTN.WA | Wittchen SA | Warsaw Stock Exchange
WWL.WA | Wawel SA | Warsaw Stock Exchange
WXFP.WA | Warimpex Finanzund Beteiligungs AG | Warsaw Stock Exchange
XPL.WA | Xplus SA | Warsaw Stock Exchange
XTB.WA | XTB SA | Warsaw Stock Exchange
XTP.WA | XTPL SA | Warsaw Stock Exchange
YAN.WA | Yanosik SA | Warsaw Stock Exchange
YATAS.IS | Yatas Yatak ve Yorgan Sanayi Ticaret AS | Istanbul Stock Exchange
YEOTK.IS | Yeo Teknoloji Enerji ve Endustri AS | Istanbul Stock Exchange
YKBNK.IS | Yapi ve Kredi Bankasi AS | Istanbul Stock Exchange
YKSGR.IS^D14 | Yapi Kredi Sigorta AS | Istanbul Stock Exchange
YOL.WA^L25 | Blugo SA W Likwidacji | Warsaw Stock Exchange
YRLP.WA | Yarrl SA | Warsaw Stock Exchange
YWL.WA^J15 | Yawal SA | Warsaw Stock Exchange
YYLGD.IS | Yayla Agro Gida Sanayi ve Ticaret AS | Istanbul Stock Exchange
ZAB.WA | Zabka Group SA | Warsaw Stock Exchange
ZAPP.WA | Grupa Azoty Zaklady Azotowe Pulawy SA | Warsaw Stock Exchange
ZEEP.WA | Ze Pak SA | Warsaw Stock Exchange
ZLR.WA^F13 | Zelmer SA | Warsaw Stock Exchange
ZMT.WA | Zamet SA | Warsaw Stock Exchange
ZOREN.IS | Zorlu Enerji Elektrik Uretim AS | Istanbul Stock Exchange
ZRE.WA | Zaklad Budowy Maszyn Zremb Chojnice SA | Warsaw Stock Exchange
ZRGYO.IS | Ziraat Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
ZUE.WA | ZUE SA | Warsaw Stock Exchange
ZUK.WA | Zaklady Urzadzen Kotlowych Staporkow SA | Warsaw Stock Exchange
ZWCG.BU | Zwack Unicum Likoripari es Kereskedelmi Nyrt | Budapest Stock Exchange
