Total companii: 967
ticker | nume_complet | bursa
DGE1.WA | Drago Entertainment SA | Warsaw Stock Exchange
DGGYO.IS | Dogus Gayrimenkul Yatirim Ortakligi AS | Istanbul Stock Exchange
DGNMO.IS | Doganlar Mobilya Grubu Imalat Sanayi ve Ticaret AS | Istanbul Stock Exchange
DGZTE.IS^B19 | Demiroren Gazetecilik AS | Istanbul Stock Exchange
DIAP.WA | Diagnostyka SA | Warsaw Stock Exchange
DIG1.WA | Digital Network SA | Warsaw Stock Exchange
DIGI.BX | Digi Communications NV | The Bucharest Stock Exchange
DMGP.WA | Dr Miele Cosmed Group SA | Warsaw Stock Exchange
DNP.WA | Dino Polska SA | Warsaw Stock Exchange
DOAS.IS | Dogus Otomotiv Servis ve Ticaret AS | Istanbul Stock Exchange
DOCO.IS | DO & CO AG | Istanbul Stock Exchange
DOHOL.IS | Dogan Sirketler Grubu Holding AS | Istanbul Stock Exchange
DOMP.WA | Dom Development SA | Warsaw Stock Exchange
DPL.WA^B25 | Drozapol Profil SA | Warsaw Stock Exchange
DRP.WA^L20 | Drop SA | Warsaw Stock Exchange
DSPW.PR | Doosan Skoda Power as | Prague Stock Exchange
DSS.WA^I15 | Dolnoslaskie Surowce Skalne SA w upadlosci likwidacyjnej | Warsaw Stock Exchange
DSTKF.IS | Destek Finans Faktoring AS | Istanbul Stock Exchange
DTPP.WA^F16 | DTP SA | Warsaw Stock Exchange
DTRP.WA | Digitree Group SA | Warsaw Stock Exchange
DUOP.WA^F16 | Fortum Markets Polska SA | Warsaw Stock Exchange
DVLP.WA | Develia SA | Warsaw Stock Exchange
DYHOL.IS^I14 | Dogan Yayin Holding AS | Istanbul Stock Exchange
DYOBY.IS | Dyo Boya Fabrikalari Sanayi Ve Ticaret AS | Istanbul Stock Exchange
EAHP.WA | Esotiq & Henderson SA | Warsaw Stock Exchange
EATP.WA | Amrest Holdings SE | Warsaw Stock Exchange
ECBP.WA | Ecb SA | Warsaw Stock Exchange
ECD.WA^B16 | Ecard SA | Warsaw Stock Exchange
ECH.WA | Echo Investment SA | Warsaw Stock Exchange
ECILC.IS | EIS Eczacibasi Ilac Sinai ve Finansal Yatirimlar Sanayi ve Ticaret AS | Istanbul Stock Exchange
ECZYT.IS | Eczacibasi Yatirim Holding Ortakligi AS | Istanbul Stock Exchange
EDIP.WA | ED Invest SA | Warsaw Stock Exchange
